barcode,description,extdescription,department,prodgroup,category,season,colour,size,url
25651515,Ruched Bust Puff Sleeve Top,"This top features a cropped length, sweetheart cut neckline, ruched bust detailing and puff sleeves.

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Blouses,Blouse Shortsleeve,Blouse Shortsleeve,SUMMER 2021,WHITE,8,https://www.glassons.com/content/products/r-rosella-ruched-bust-blouse-white-front-bs47680rwas.jpg?width=200
25651317,Open Back Shirred Top,"This short sleeve top features and puff sleeve, open back and shirred body with v-neckline and button closure at back neck.",Blouses,Blouse Shortsleeve,Blouse Shortsleeve,SUMMER 2021,BLACK,10,https://www.glassons.com/content/products/shazza-shirred-blouse-black-front-bs46568cot.jpg?width=200
25701128,Mesh Corset Crop Top,"This corset style top features a cropped length, mesh finish with shirred back panel. This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Knit Tops,Tops Sleeveless,Tops Sleeveless,SUMMER 2021,MAPLE SYRUP,XS,https://www.glassons.com/content/products/co-benji-bustier-black-front-tv44914msh.jpg?width=200
25873955,Linen Blend Gingham Mini Dress,"This dress features a mini length, spaghetti straps, a gingham print on linen blend material and side zip fastening.

Our linen viscose blend contains premium quality flax fibre. A natural and sustainable fibre, cultivated without artificial irrigation and GMO free that is traceable back to farms from Western Europe. EUROPEAN FLAX® certified.",Dresses,Dresses Short,Dresses Short,WINTER 2021,VIOLET CHECK,10,https://www.glassons.com/content/products/t-tully-thigh-split-dress-violet-check-front-ds46231tvc.jpg?width=200
25795370,Double Pendant Necklace,A chunky chain with drop pendant detail.,Accessories,Jewellery,Jewellery,NULL,GOLD,OS,https://www.glassons.com/content/products/double-pendant-necklace-silver-front-je49111nl.jpg?width=200
25740462,Satin Low Back Midi Dress,"This dress features a mid-length, cross-back strap detail, a satin finish and cowl neckline. 

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Dresses,Dresses Long,Dresses Long,SUMMER 2020,CASH COW,16,https://www.glassons.com/content/products/r-lilo-low-back-dress-black-front-dl48449rpln.jpg?width=200
25736861,Cutout Knit Mini Dress,"This dress features a slim-fit, cutout front detail and rib knit material.",Dresses,Dresses Knitwear,Dresses Knitwear,SUMMER 2020,WHITE,XS,https://www.glassons.com/content/products/natalia-cutout-knit-dress-big-blue-front-kd48577knt.jpg?width=200
25738049,"90's Nylon Handbag","This 90's style handbag features nylon material and shoulder straps.",Accessories,Bags,Bags,NULL,BLACK,OS,https://www.glassons.com/content/products/90s-nylon-handbag-caramello-check-front-bg48724nyl.jpg?width=200
25741162,Faux Leather Croc Mini Shoulder Bag,A mini shoulder bag with croc embossed faux leather material.,Accessories,Bags,Bags,NULL,CASH COW,OS,https://www.glassons.com/content/products/mini-croc-shoulder-bag-stone-front-bg48725pu.jpg?width=200
25651447,Floral Open Back Shirred Top,"This floral print top features and puff sleeve, open back and shirred body with v-neckline and button closure at back neck.",Blouses,Blouse Shortsleeve,Blouse Shortsleeve,SUMMER 2021,PETITE BUNCHES,8,https://www.glassons.com/content/products/shazza-shirred-blouse-petite-bunches-front-bs46568pet.jpg?width=200
